record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.cycle_length16[m],record.heart_rate[bpm],record.cadence[rpm],record.fractional_cadence[rpm],record.unknown,record.developer.0.Current Sound Value,record.developer.0.Maximum Sound Threshold,record.developer.0.Current Temperature Value,record.developer.0.Maximum Temperature Threshold,record.developer.0.Minimum Temperature Threshold,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1079980670","17.17","1152.6","0.0","103","0","0.0","52","41","120","27.146124","20.0","27.0","609707287","-1361817120","0.0",
"1079980671","17.18","1152.6","369.56","103","0","0.0","52","39","120","27.146124","20.0","27.0","609707284","-1361817120","0.0",
"1079980672","17.19","1152.6","0.0","103","0","0.0","52","39","120","27.146124","20.0","27.0","609707282","-1361817120","0.0",
"1079980673","17.23","1152.6","0.0","102","0","0.0","52","47","120","27.146124","20.0","27.0","609707270","-1361817120","0.0",
"1079980674","17.29","1152.6","0.0","99","0","0.0","52","36","120","27.146124","20.0","27.0","609707253","-1361817120","0.0",
"1079980675","17.35","1152.6","0.0","99","0","0.0","52","42","120","27.146124","20.0","27.0","609707235","-1361817120","0.0",
"1079980676","17.47","1152.4","0.0","95","0","0.0","52","52","120","27.166267","20.0","27.0","609707184","-1361817128","0.0",
"1079980677","17.61","1152.4","369.91","93","0","0.0","52","55","120","27.166267","20.0","27.0","609707137","-1361817131","0.0",
"1079980678","17.74","1152.4","370.84","93","0","0.0","52","42","120","27.176338","20.0","27.0","609707102","-1361817129","0.0",
"1079980679","17.8","1152.4","0.0","93","0","0.0","52","48","120","27.166267","20.0","27.0","609707088","-1361817128","0.0",
"1079980680","17.81","1152.4","0.0","93","0","0.0","52","40","120","27.166267","20.0","28.0","609707083","-1361817128","0.0",
"1079980681","17.82","1152.4","0.0","93","0","0.0","52","46","120","27.176338","20.0","28.0","609707082","-1361817128","0.0",
"1079980682","17.82","1152.2","373.08","92","0","0.0","52","40","120","27.176338","20.0","28.0","609707081","-1361817127","0.0",
"1079980683","17.82","1152.2","0.0","93","0","0.0","52","42","120","27.166267","20.0","28.0","609707081","-1361817127","0.0",
"1079980684","17.82","1152.2","0.0","95","0","0.0","52","40","120","27.176338","20.0","28.0","609707081","-1361817127","0.0",
"1079980685","17.82","1152.2","0.0","95","0","0.0","52","46","120","27.176338","20.0","28.0","609707081","-1361817127","0.0",
"1079980686","17.82","1152.2","0.0","95","0","0.0","52","41","120","27.166267","20.0","28.0","609707081","-1361817127","0.0",
"1079980687","17.82","1152.2","0.0","94","0","0.0","52","46","120","27.186409","20.0","28.0","609707081","-1361817127","0.0",
